annual_salary,other_income,investments,deductions,age,tax_paid
3176242,58706,150000,82962,29,726019.63
4780081,463645,79324,80096,52,1375703.47
2848790,402692,35249,34409,44,782129.09
3963024,344950,100124,81461,53,1076833.37
2846791,55006,95049,22987,33,657933.43
2910108,87238,85078,10633,55,694710.12
3553597,248018,32294,56207,26,947891.57
265953,463134,150000,50535,60,11884.7
4189618,194227,134756,95661,50,1085269.54
2797480,460537,150000,3996,58,757854.55
4397571,307942,150000,14,36,1210715.69
3122097,77271,141503,80431,21,718359.41
357164,292321,89627,1674,62,14702.27
4929930,489464,90381,37867,38,1440237.55
2428636,390166,90027,85537,42,614090.26
731831,392300,150000,57251,46,89311.04
3189475,344359,70366,55709,34,852620.81
3406420,43013,94176,17864,57,830666.62
3565884,494117,119667,26321,34,1010572.06
3569720,82600,72870,24082,46,898674.82
4911075,358243,47387,40131,56,1406121.6
2840328,315594,150000,71493,43,704941.85
891095,491844,9304,4210,22,216660.6
1033727,441144,17032,64586,59,224094.94
1362928,384784,91291,83605,27,280118.59
2383151,354547,112889,34851,59,597466.9
3363683,438598,59486,26865,42,948770.16
4170001,99290,65552,83606,48,1074881.5
270640,216110,150000,4158,58,1694.78
4590886,131832,39244,57852,40,1232594.06
2200991,24142,137014,49339,38,425499.36
4322263,372333,50697,20572,44,1231878.02
4794877,369676,126031,4100,53,1360139.66
4455780,410506,2693,44469,46,1292966.69
1555531,464251,150000,81061,39,347480.95
875510,131436,81098,60861,62,78517.3
3941196,319065,6259,18456,33,1110890.35
2934296,281941,119746,55803,30,738094.66
3531869,237403,107772,65633,34,911310.5
1098320,32535,117928,75019,29,93684.86
2207635,308444,136014,36232,31,520675.9
1426607,309320,47419,67323,23,295209.72
4263960,16105,102092,21788,60,1086129.72
3464908,139011,56105,98987,32,865434.02
4460538,79472,150000,16092,55,1154062.42
1812818,173101,150000,1132,59,361853.54
2475504,146935,23404,77850,59,576009.72
3425187,78097,72656,88118,52,832263.12
4804299,261674,136774,93316,59,1298195.5
4860456,141519,100965,97772,34,1288010.26
4298502,96160,56332,13068,64,1138881.74
3821581,46940,150000,47401,21,934789.44
4446238,209019,103182,48526,47,1194507.29
625523,85001,111395,58958,57,12488.89
3799865,234824,102619,76593,63,992308.82
4399790,150714,108269,55041,21,1158204.53
1239458,227870,73844,99158,49,193229.71
3972811,226971,150000,63372,44,1033159.92
2517336,198715,124983,67562,37,576733.87
4360435,7928,34142,92099,55,1112942.06
2963642,48002,109699,64046,51,674824.49
2009891,346997,96226,68086,62,473483.71
3988340,114614,7393,96458,52,1037120.14
2619862,117517,102281,7089,39,609338.81
397775,156089,150000,16623,51,4536.53
2586488,79064,9388,49641,59,602635.18
987494,381838,62969,12043,40,193227.84
1401193,406529,36660,66572,48,321200.88
4143334,394775,89244,64136,23,1157435.45
3209758,50893,150000,88052,52,732450.89
733636,277311,79544,86700,42,74298.22
3238370,474095,150000,57061,64,883086.05
4432406,38598,131183,6122,62,1141514.09
4468764,138595,115370,47346,64,1176128.62
3435658,311921,17545,97322,35,922806.14
1976203,421655,150000,16150,58,485692.9
2476360,378522,133451,87630,39,611145.91
4608249,81060,87346,77228,51,1201117.32
4626219,275429,150000,12054,46,1268153.33
2734629,404189,17809,1767,25,762603.5
725830,385114,150000,4708,40,97497.09
1532397,22694,27967,57999,22,247767.0
2336233,428990,140820,52158,41,591940.44
918216,397518,23424,29292,56,183461.62
717313,261401,150000,28082,48,65131.46
3865060,246848,108411,34024,40,1027875.58
3662565,153463,150000,92270,57,904412.5
1537682,266755,150000,23461,59,298264.51
1486643,9372,70069,5351,56,232625.64
1733584,155384,150000,47031,31,317284.34
594540,145152,89119,99053,23,13316.16
2815075,342762,37049,82628,57,737305.92
4642987,112945,27821,39718,40,1252178.62
226790,370541,95797,90577,52,5769.76
1891738,96213,150000,91212,45,334382.57
3108873,20874,148456,12777,41,715576.37
648345,455753,150000,89856,36,78362.34
949074,204986,77734,8308,62,122621.62
3885501,394813,150000,43441,21,1064504.38
2079490,11600,138241,80865,43,373459.01
4087857,396963,150000,13882,63,1137532.66
3376083,341559,97445,4714,44,917430.7
1654908,248430,3830,91586,45,353471.66
2453694,471769,150000,43432,27,641793.67
3519144,155887,86940,81289,58,883522.22
505062,215572,150000,95515,59,9106.19
2587312,94348,150000,80166,55,554266.13
3893976,105736,63867,17658,34,1011874.34
4608224,286858,150000,69245,29,1248261.14
4235493,412106,150000,98642,23,1161874.58
3588532,454725,32419,77027,58,1016749.03
1625541,455040,16668,50808,40,417488.76
2071403,135797,147318,39530,61,419749.82
1021052,436421,24996,8834,53,233576.62
2007150,151756,51312,14358,61,442489.63
2425300,485077,134137,9872,64,652506.82
2055567,451127,10467,58694,52,549910.3
1734837,491294,150000,87193,56,409948.66
3701268,111573,150000,50321,46,916506.24
3538442,275236,150000,90363,25,904274.28
4654051,358062,28702,73709,50,1321227.02
623570,432986,94369,16685,37,95264.42
2573139,25457,75569,11333,26,573048.53
1058158,333811,53952,11356,35,203318.23
2314792,352895,150000,40584,21,562256.14
252528,62894,34169,51362,33,0.0
2073421,61305,16829,11344,54,446644.54
2798260,143684,150000,44619,50,646565.4
1617077,233913,4522,81331,39,340122.74
3495887,209699,85687,95279,22,889081.44
3518230,493855,150000,1943,64,993764.3
2452728,430305,120334,90185,32,623224.37
2685195,488511,150000,60217,60,714008.57
4460507,314281,118576,21021,64,1235579.59
360775,559,117419,8348,44,0.0
2867867,328393,150000,77286,31,715719.89
1763299,37361,7699,70921,22,326676.48
3669401,342864,68165,16639,21,1014767.83
3975803,277405,150000,85030,48,1043071.54
1544027,282516,75692,64566,24,315520.92
4366500,317499,17441,42011,61,1232258.66
991267,228748,30716,18640,50,154645.61
697562,360704,62175,35402,27,98423.31
4048693,188992,6834,65088,42,1089118.06
4778238,243950,18179,60240,46,1331855.93
4237776,425760,26219,1891,49,1235652.91
2204168,37,103153,28259,45,436111.42
4210912,174104,146854,63021,30,1092043.99
4711732,471449,74967,28987,40,1374118.82
2379996,303564,102454,52616,34,578288.88
1800396,97243,9496,10683,53,375167.52
3511149,484768,150000,61083,25,970268.21
322402,129380,46025,9967,26,4981.08
1366588,258430,59886,77664,42,253490.02
4832965,34600,150000,40194,37,1248739.75
2696081,179357,3712,93831,35,656103.24
2877618,193080,94067,85873,59,691316.5
4967999,351664,45489,62661,60,1415392.06
4857860,267311,32664,87738,48,1350887.93
775278,257351,143492,72307,22,68500.64
1378049,432,150000,43452,38,159129.05
3280201,261550,5315,12857,47,888756.65
4872311,69687,75033,31301,41,1298127.17
3762737,244288,117862,55900,43,985378.06
3664442,334091,79030,31460,27,1002469.42
1474732,358468,63910,86923,39,314298.5
3514692,313047,150000,49800,29,921316.97
4393398,485375,121075,9832,32,1270734.19
4919607,185221,55919,47408,50,1349868.31
1310389,218712,135204,12626,27,220356.55
227712,187840,127153,57872,22,0.0
4271647,453400,41598,84021,37,1224421.54
4112942,327936,150000,78959,31,1103518.73
312816,295583,68206,96939,32,7449.21
1835156,164329,74900,96159,23,359868.91
335230,498409,26296,16802,41,63032.53
1966616,175746,149138,16333,34,406189.99
4663418,313392,150000,35120,35,1284407.28
1583194,476818,75577,93621,62,379333.97
3301360,176443,77173,22159,61,843482.95
2081548,229354,64771,24660,30,482498.95
4545760,461212,150000,56843,56,1287040.25
3451298,168369,77865,34519,30,883672.3
4665150,447489,99074,94333,37,1324200.38
200404,454472,150000,84577,64,6255.55
1523483,34743,150000,44935,45,214746.79
1922320,199824,36622,22507,47,433060.68
2532517,79803,35886,71060,53,571076.69
4737090,337261,150000,84271,31,1299504.96
3396340,201123,140973,57223,33,849971.3
363273,22076,56377,27675,21,67.44
4054418,241424,82910,17673,51,1098320.81
3852692,206384,150000,35470,53,997965.07
1287341,250699,118992,41603,41,219162.84
4177266,349627,150000,84825,36,1128525.22
3231756,134035,148731,31230,59,783378.96
1043523,381361,150000,14542,43,182626.7
746237,465538,150000,61407,30,106676.54
4240479,144938,16312,53821,53,1135768.61
292193,366648,1436,35690,42,27916.72
3381915,163377,27569,6654,61,884853.53
4900254,455619,150000,67557,26,1392554.59
1386887,213968,116787,85544,56,225739.49
3208038,367793,90485,88264,30,849289.58
708153,388388,150000,89698,36,76823.34
3534817,294957,102555,27446,33,943729.18
3782069,328873,150000,95515,40,995413.22
2915514,453902,140377,48484,24,781733.16
2858571,266656,32646,44078,40,740532.94
1879748,250703,76126,4225,42,429031.2
2423069,415882,117922,74745,49,615040.61
3645498,147702,40430,81259,36,934911.43
681680,117907,122238,45487,63,30027.3
2836694,205591,68659,68676,63,695744.4
3161293,393852,115341,11721,43,858961.9
4300673,396991,4158,2587,50,1252966.73
1734026,461173,74236,39437,50,438836.11
515826,64591,76067,18989,63,9638.77
3667366,209633,150000,32726,23,942013.18
527359,468032,9879,70540,44,88914.18
3948603,233559,136615,79837,57,1026701.52
4401253,273495,112284,98215,33,1182245.69
3060337,377544,150000,93639,62,786003.5
517537,120533,150000,41168,52,7638.9
750222,103627,84117,64669,57,45253.1
2773619,448400,150000,73040,32,725081.45
2653752,128381,43888,71616,28,621388.25
1564133,242264,30276,7408,44,341238.46
2132247,357851,4799,4153,64,563517.55
1553038,462396,112529,11055,36,379657.2
450875,343822,124713,19760,52,33846.59
4857693,73309,90141,17752,54,1294210.01
4464694,225074,150000,89729,55,1177812.17
907689,272922,115013,3800,52,120680.98
4647794,143573,150000,66573,37,1216735.73
1815952,374857,31668,30054,22,453675.14
1496516,395324,135183,61816,46,318190.39
2730179,488121,150000,26866,64,738327.41
1756617,36382,72392,992,37,325919.88
3663351,222426,16490,23696,58,989224.39
1465040,337931,150000,60282,22,286318.97
2054971,23341,145569,98697,28,361622.35
850199,470430,150000,73541,26,131691.46
4234628,145439,117219,52838,29,1102923.12
2049396,382111,44104,29400,21,525096.94
2891276,226280,5316,82277,25,734748.46
828861,131066,38130,17565,59,86680.26
2726954,200940,107294,39585,29,657076.68
861614,405218,29954,34833,34,164438.04
4893174,259252,113437,12094,47,1357791.24
3557519,85820,150000,31280,29,869562.41
866997,59949,145250,46647,56,51490.19
1926351,408916,150000,44378,49,457357.37
1272647,210377,145823,19513,40,200518.66
1831107,62543,150000,154,35,333370.75
1228455,422534,134116,95798,56,232775.4
1505794,483075,63165,28134,23,381441.84
